alter,mq,wq,md,wd,syph_msm,syph_msf,syph_female,relm_share,relw_share
47,0.018649714,0.017201159,0.00288669,0.00163512,0.0013015801,4.33294877154547E-006,8.5380591749596E-007,0.80197297,0.89397519
48,0.018291736,0.016910835,0.00320727,0.00176843,0.0013015801,4.33294877154547E-006,8.5380591749596E-007,0.80197297,0.89397519
49,0.017521890,0.016301809,0.00358384,0.00205765,0.0013015801,4.33294877154547E-006,8.5380591749596E-007,0.80197297,0.89397519
50,0.017152054,0.016166125,0.00400077,0.002203,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.812524,0.88413449
51,0.016766485,0.015813280,0.00473103,0.00244679,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.812524,0.88413449
52,0.016368706,0.015481054,0.00500602,0.00274537,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.812524,0.88413449
53,0.015585828,0.014700095,0.00551973,0.00300654,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.812524,0.88413449
54,0.015268473,0.014391591,0.0061929,0.00319122,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.812524,0.88413449
55,0.014684015,0.013950064,0.00676611,0.00354317,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.82429693,0.85654308
56,0.013985671,0.013574716,0.00728921,0.0037722,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.82429693,0.85654308
57,0.013648474,0.013405887,0.00804515,0.00399657,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.82429693,0.85654308
58,0.012937450,0.012854837,0.00879425,0.00441231,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.82429693,0.85654308
59,0.012807714,0.012776021,0.00954303,0.00472202,0.0005072838,2.2710685163741E-006,6.3909218757323E-007,0.82429693,0.85654308
60,0.012368607,0.012374623,0.01039186,0.00538935,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.84109261,0.83263794
61,0.012385162,0.012334605,0.01116513,0.00574671,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.84109261,0.83263794
62,0.012398429,0.012303344,0.01198855,0.00630765,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.84109261,0.83263794
63,0.011347625,0.011297465,0.01264343,0.00673786,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.84109261,0.83263794
64,0.010411177,0.010421505,0.01409596,0.00734941,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.84109261,0.83263794
65,0.009478251,0.009628796,0.01505891,0.00780987,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.85894142,0.80145821
66,0.007852381,0.008218525,0.0165411,0.00855426,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.85894142,0.80145821
67,0.010226728,0.010582131,0.0178801,0.00913231,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.85894142,0.80145821
68,0.010215692,0.010608070,0.01914845,0.00971063,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.85894142,0.80145821
69,0.009866285,0.010315862,0.02094265,0.01062152,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.85894142,0.80145821
70,0.011620834,0.012387592,0.02276821,0.01160472,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.86138558,0.75216553
71,0.012349587,0.013381167,0.02492804,0.01287719,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.86138558,0.75216553
72,0.011977637,0.013192939,0.02710852,0.01447772,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.86138558,0.75216553
73,0.011140517,0.012407989,0.0298497,0.0162612,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.86138558,0.75216553
74,0.010244927,0.011732673,0.03386753,0.01860754,8.41736321692527E-005,7.4417570459555E-007,9.180488121045E-008,0.86138558,0.75216553
75,0.009639100,0.011226519,0.03743755,0.02145793,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.86389349,0.69110722
76,0.009041727,0.010815144,0.04161773,0.02449281,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.86389349,0.69110722
77,0.008212003,0.010032189,0.04674576,0.02772371,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.86389349,0.69110722
78,0.006195399,0.007841403,0.05282011,0.03206826,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.86389349,0.69110722
79,0.005927943,0.007693082,0.05885408,0.03630593,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.86389349,0.69110722
80,0.005667531,0.007729663,0.06505277,0.04176558,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.85456485,0.59563284
81,0.005661778,0.007947268,0.07285302,0.04759035,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.85456485,0.59563284
82,0.005078964,0.007491662,0.08032828,0.05514431,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.85456485,0.59563284
83,0.004614731,0.007094365,0.08790407,0.06271158,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.85456485,0.59563284
84,0.003797218,0.006480462,0.09819141,0.07231571,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.85456485,0.59563284
85,0.003141023,0.006060440,0.10863478,0.08275464,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.81114524,0.50786525
86,0.002580516,0.005727992,0.12091242,0.09422269,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.81114524,0.50786525
87,0.001988074,0.005061988,0.13524707,0.10829159,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.81114524,0.50786525
88,0.001603562,0.004352751,0.14830927,0.12228715,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.81114524,0.50786525
89,0.001413361,0.003920314,0.16726755,0.14151697,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.81114524,0.50786525
90,0.001116083,0.003447748,0.17599623,0.15479557,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.75411147,0.48207489
91,0.000845692,0.002780856,0.19982011,0.17768652,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.75411147,0.48207489
92,0.000510961,0.001820538,0.2163512,0.18922594,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.75411147,0.48207489
93,0.000249375,0.000962203,0.23466118,0.20725262,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.75411147,0.48207489
94,0.000181983,0.000725422,0.25354363,0.22588264,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.75411147,0.48207489
95,0.000146291,0.000629201,0.27293451,0.24505411,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.70197387,0.55930983
96,0.000124453,0.000602818,0.29276938,0.26470456,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.70197387,0.55930983
97,0.000106489,0.000579096,0.31298378,0.28477128,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.70197387,0.55930983
98,0.000075963,0.000391754,0.33351351,0.30519163,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.70197387,0.55930983
99,0.000040388,0.000261169,0.35429504,0.32590336,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.70197387,0.55930983
100,0.000053069,0.000395634,0.37526575,0.34684491,1.14175706691352E-005,1.0741671638353E-007,2.673936029156E-008,0.70197387,0.55930983
